Name	Genes (tot)	Stat (dist.dir.up)	p (dist.dir.up)	p adj (dist.dir.up)	Stat (dist.dir.dn)	p (dist.dir.dn)	p adj (dist.dir.dn)	Stat (non-dir.)	p (non-dir.)	p adj (non-dir.)	Genes (up)	Stat (mix.dir.up)	p (mix.dir.up)	p adj (mix.dir.up)	Genes (down)	Stat (mix.dir.dn)	p (mix.dir.dn)	p adj (mix.dir.dn)
3_5_exonuclease_activity(7)	42	0.31744	0.004995	0.074503	0.68256	0.996	1	0.1251	0.000999	0.00151	28	0.076508	0.000999	0.0078325	13	0.16245	0.16484	0.31038
3_UTR_mediated_mRNA_stabilization(7)	11	0.40864	0.25974	1	0.59136	0.74126	0.9217	0.10669	0.000999	0.00151	6	0.028866	0.00999	0.046407	4	0.00011247	0.018981	0.070961
3_chloroallyl_aldehyde_dehydrogenase_activity(6)	9	0.65204	0.8951	1	0.34796	0.10589	0.23653	0.40071	0.17083	0.18454	4	0.6679	0.97802	0.99269	5	0.18696	0.36464	0.52386
4_hydroxyproline_metabolic_process(5)	10	0.6001	0.83716	1	0.3999	0.16384	0.32535	0.00020584	0.000999	0.00151	4	0.00051366	0.007992	0.039604	6	6.2201e-07	0.000999	0.0079587
4_iron_4_sulfur_cluster_binding(5)	36	0.60868	0.96903	1	0.39132	0.031968	0.097843	0.052527	0.000999	0.00151	14	0.061272	0.001998	0.013454	22	0.046962	0.000999	0.0079587
5_3_DNA_helicase_activity(10)	18	0.4801	0.5035	1	0.5199	0.4975	0.70389	0.19417	0.000999	0.00151	10	0.23894	0.22577	0.40828	8	0.13821	0.16683	0.31264
5_3_exonuclease_activity(7)	17	0.36384	0.078921	0.646	0.63616	0.92208	1	0.11675	0.000999	0.00151	11	0.10706	0.014985	0.061714	6	0.13451	0.19381	0.34521
5_nucleotidase_activity(8)	12	0.50481	0.57043	1	0.49519	0.43057	0.6353	0.33029	0.043956	0.051041	6	0.33911	0.58541	0.73521	5	0.18575	0.36264	0.52189
8_oxo_7_8_dihydroguanosine_triphosphate_pyrophosphatase_activity(8)	13	0.66447	0.94805	1	0.33553	0.052947	0.14074	0.25225	0.003996	0.0054487	5	0.45555	0.81319	0.89965	8	0.12519	0.13387	0.27073
90S_preribosome(5)	25	0.43323	0.26274	1	0.56677	0.73826	0.91951	0.15185	0.000999	0.00151	15	0.18193	0.057942	0.16366	10	0.10674	0.068931	0.17387
ADP_binding(5)	31	0.6777	0.998	1	0.3223	0.002997	0.016408	0.15239	0.000999	0.00151	9	0.13255	0.054945	0.1582	21	0.12053	0.023976	0.083566
AMP_activated_protein_kinase_activity(8)	13	0.48815	0.50549	1	0.51185	0.4955	0.70165	0.22	0.000999	0.00151	8	0.34699	0.59241	0.73996	5	0.016821	0.045954	0.13053
AMP_activated_protein_kinase_complex(4)	12	0.62471	0.9021	1	0.37529	0.098901	0.22396	0.10634	0.000999	0.00151	5	0.22692	0.27073	0.45531	7	0.020217	0.015984	0.062081
AMP_binding(5)	12	0.45964	0.42458	1	0.54036	0.57642	0.77643	0.27595	0.016983	0.0208	6	0.20196	0.22178	0.40334	5	0.21993	0.46154	0.61076
AMP_metabolic_process(8)	13	0.6802	0.96104	1	0.3198	0.03996	0.11487	0.21937	0.000999	0.00151	5	0.45371	0.81119	0.89803	8	0.072915	0.03996	0.11817
AP_type_membrane_coat_adaptor_complex(3)	37	0.53532	0.77922	1	0.46468	0.22178	0.40406	0.24937	0.000999	0.00151	19	0.3379	0.61638	0.7594	18	0.15592	0.090909	0.20964
ARF_guanyl_nucleotide_exchange_factor_activity(3)	17	0.63697	0.94905	1	0.36303	0.051948	0.13903	0.1761	0.000999	0.00151	6	0.2209	0.27173	0.45653	11	0.15167	0.14286	0.28301
ATP_biosynthetic_process(9)	37	0.75483	1	1	0.24517	0.000999	0.0072255	0.13053	0.000999	0.00151	10	0.33436	0.56044	0.71432	27	0.055033	0.000999	0.0079587
ATP_dependent_5_3_DNA_helicase_activity(11)	16	0.48094	0.45055	1	0.51906	0.55045	0.75231	0.21179	0.001998	0.002859	9	0.26549	0.34466	0.53183	7	0.14276	0.18482	0.3339
ATP_dependent_DNA_helicase_activity(10)	38	0.31716	0.007992	0.10707	0.68284	0.99301	1	0.12819	0.000999	0.00151	26	0.095677	0.000999	0.0078325	12	0.19863	0.2967	0.45676
ATP_dependent_RNA_helicase_activity(10)&RNA_dependent_ATPase_activity(10)	29	0.38319	0.096903	0.74674	0.61681	0.9041	1	0.27037	0.001998	0.002859	19	0.26488	0.26573	0.45145	10	0.2808	0.61139	0.73454
ATP_dependent_chromatin_remodeling(7)	36	0.18724	0.000999	0.0217	0.81276	1	1	0.095311	0.000999	0.00151	28	0.027463	0.000999	0.0078325	7	0.23746	0.44755	0.59841
ATP_dependent_microtubule_motor_activity_plus_end_directed(9)	15	0.4458	0.35065	1	0.5542	0.65035	0.84481	0.063546	0.000999	0.00151	8	0.020454	0.003996	0.023011	7	0.11279	0.11389	0.24466
ATP_metabolic_process(8)	86	0.74731	1	1	0.25269	0.000999	0.0072255	0.12628	0.000999	0.00151	21	0.18843	0.035964	0.11611	62	0.062951	0.000999	0.0079587
ATP_synthesis_coupled_electron_transport(6)	22	0.8724	1	1	0.1276	0.000999	0.0072255	0.1075	0.000999	0.00151	2	0.0014933	0.078921	0.19909	19	0.071684	0.002997	0.018216
ATPase_activator_activity(4)	14	0.53727	0.72527	1	0.46273	0.27572	0.46651	0.18682	0.000999	0.00151	7	0.26135	0.35065	0.53834	7	0.11229	0.11389	0.24466
ATPase_activity(8)	355	0.44326	0.018981	0.21304	0.55674	0.98202	1	0.16204	0.000999	0.00151	196	0.14126	0.000999	0.0078325	149	0.13312	0.000999	0.0079587
ATPase_activity_coupled(9)	257	0.42745	0.012987	0.15538	0.57255	0.98801	1	0.17984	0.000999	0.00151	146	0.1549	0.000999	0.0078325	102	0.14316	0.000999	0.0079587
ATPase_activity_coupled_to_movement_of_substances(10)	111	0.60531	0.999	1	0.39469	0.001998	0.012017	0.23126	0.000999	0.00151	42	0.24242	0.07992	0.20116	61	0.12275	0.000999	0.0079587
ATPase_activity_coupled_to_transmembrane_movement_of_ions(6)	52	0.6058	0.98002	1	0.3942	0.020979	0.070653	0.24413	0.000999	0.00151	21	0.31104	0.46354	0.63686	28	0.11297	0.010989	0.047598
ATPase_activity_coupled_to_transmembrane_movement_of_ions_phosphorylative_mechanism(7)	37	0.50228	0.58741	1	0.49772	0.41359	0.61799	0.31762	0.000999	0.00151	19	0.33965	0.62238	0.7641	15	0.15324	0.10689	0.23461
ATPase_activity_coupled_to_transmembrane_movement_of_ions_rotational_mechanism(7)	19	0.79881	0.999	1	0.20119	0.001998	0.012017	0.14718	0.000999	0.00151	3	0.092281	0.16384	0.32915	15	0.10131	0.01998	0.073384
ATPase_activity_coupled_to_transmembrane_movement_of_substances(5)	95	0.64348	1	1	0.35652	0.000999	0.0072255	0.24813	0.000999	0.00151	33	0.30039	0.3986	0.58111	55	0.12109	0.000999	0.0079587
ATPase_binding(5)	55	0.63277	0.998	1	0.36723	0.002997	0.016408	0.23892	0.000999	0.00151	21	0.32578	0.54845	0.70428	30	0.076634	0.001998	0.013547
ATPase_dependent_transmembrane_transport_complex(3)	12	0.67612	0.95704	1	0.32388	0.043956	0.12365	0.29576	0.025974	0.031041	4	0.38393	0.67632	0.80719	6	0.0022298	0.006993	0.034284
ATPase_regulator_activity(4)	21	0.6045	0.92108	1	0.3955	0.07992	0.19083	0.19264	0.000999	0.00151	9	0.30193	0.47153	0.64256	12	0.11068	0.055944	0.1509
AU_rich_element_binding(6)	21	0.44291	0.30769	1	0.55709	0.69331	0.88268	0.19607	0.000999	0.00151	11	0.134	0.035964	0.11611	8	0.080422	0.051948	0.14265
A_band(4)	27	0.36483	0.051948	0.4731	0.63517	0.94905	1	0.40169	0.067932	0.076758	16	0.30087	0.45455	0.6293	7	0.29026	0.62338	0.7448
Ada2_Gcn5_Ada3_transcription_activator_complex(6)	12	0.27521	0.031968	0.32363	0.72479	0.96903	1	0.11363	0.000999	0.00151	9	0.10937	0.031968	0.10709	3	0.1264	0.27373	0.43531
Arp2_3_complex_mediated_actin_nucleation(8)	29	0.52115	0.71229	1	0.47885	0.28871	0.48241	0.26526	0.000999	0.00151	12	0.1633	0.037962	0.12093	17	0.33724	0.86414	0.9223
Arp2_3_protein_complex(4)	10	0.44644	0.39061	1	0.55356	0.61039	0.80728	0.26188	0.016983	0.0208	5	0.15475	0.12388	0.27283	5	0.36901	0.77323	0.85584
BAF_type_complex(5)	22	0.34727	0.045954	0.43079	0.65273	0.95504	1	0.12783	0.000999	0.00151	15	0.13641	0.014985	0.061714	7	0.10944	0.10789	0.23564
BH_domain_binding(5)	10	0.70257	0.95904	1	0.29743	0.041958	0.11918	0.098019	0.000999	0.00151	3	0.17193	0.25574	0.44155	7	0.066342	0.052947	0.14456
BLOC_1_complex(5)	13	0.83269	0.999	1	0.16731	0.001998	0.012017	0.1623	0.000999	0.00151	3	0.62664	0.93407	0.97038	10	0.022994	0.002997	0.018216
BLOC_complex(4)	18	0.76829	1	1	0.23171	0.000999	0.0072255	0.12386	0.000999	0.00151	5	0.38878	0.68132	0.81199	13	0.021969	0.002997	0.018216
BMP_signaling_pathway(8)	144	0.55481	0.98202	1	0.44519	0.018981	0.06584	0.36491	0.000999	0.00151	56	0.30286	0.40959	0.59081	66	0.20587	0.12787	0.26249
B_cell_activation(5)	207	0.39706	0.001998	0.036541	0.60294	0.999	1	0.29704	0.000999	0.00151	116	0.20684	0.000999	0.0078325	71	0.2464	0.42657	0.57833
B_cell_activation_involved_in_immune_response(6)	56	0.4175	0.091908	0.71898	0.5825	0.90909	1	0.31376	0.000999	0.00151	32	0.2629	0.17782	0.34947	21	0.29324	0.73327	0.82693
B_cell_apoptotic_process(10)	37	0.52076	0.6983	1	0.47924	0.3027	0.49687	0.59699	0.77423	0.7876	12	0.41849	0.85714	0.92499	11	0.27881	0.5984	0.72297
B_cell_differentiation(6)	100	0.40009	0.010989	0.13812	0.59991	0.99001	1	0.30008	0.000999	0.00151	53	0.17948	0.000999	0.0078325	32	0.17176	0.06993	0.1756
B_cell_homeostasis(5)	34	0.42532	0.18482	1	0.57468	0.81618	0.9786	0.16693	0.000999	0.00151	21	0.20471	0.058941	0.16557	13	0.10591	0.044955	0.12829
B_cell_mediated_immunity(6)	102	0.61158	1	1	0.38842	0.000999	0.0072255	0.27436	0.000999	0.00151	40	0.34538	0.7033	0.82596	57	0.16087	0.014985	0.059584
B_cell_proliferation(6)	84	0.40823	0.037962	0.37197	0.59177	0.96304	1	0.3182	0.000999	0.00151	44	0.19693	0.010989	0.049003	29	0.24357	0.43656	0.58865
B_cell_receptor_signaling_pathway(7)	38	0.30382	0.004995	0.074503	0.69618	0.996	1	0.18699	0.000999	0.00151	28	0.18206	0.013986	0.058611	10	0.20078	0.31868	0.47935
C21_steroid_hormone_biosynthetic_process(5)	14	0.67157	0.97103	1	0.32843	0.02997	0.093172	0.38003	0.082917	0.092692	5	0.57814	0.95105	0.97934	8	0.17872	0.27273	0.43455
C21_steroid_hormone_metabolic_process(4)	23	0.70336	0.996	1	0.29664	0.004995	0.023727	0.35745	0.020979	0.025425	7	0.55447	0.95405	0.98122	14	0.16714	0.17782	0.32522
C2H2_zinc_finger_domain_binding(5)	13	0.31798	0.051948	0.4731	0.68202	0.94905	1	0.27745	0.011988	0.015078	9	0.21524	0.1988	0.3762	4	0.41743	0.84515	0.90958
C4_dicarboxylate_transport(7)	11	0.71284	0.97802	1	0.28716	0.022977	0.076084	0.27899	0.023976	0.028843	3	0.38761	0.66633	0.79869	7	0.12943	0.15485	0.29759
CCR4_NOT_complex(4)	14	0.36603	0.13187	0.90966	0.63397	0.86913	1	0.13768	0.000999	0.00151	8	0.011024	0.002997	0.018503	6	0.30656	0.70529	0.8075
CCR_chemokine_receptor_binding(7)	17	0.65673	0.96703	1	0.34327	0.033966	0.10205	0.34618	0.030969	0.036536	5	0.39004	0.68731	0.81593	11	0.26681	0.54545	0.6824
CD40_receptor_complex(4)	11	0.56523	0.77822	1	0.43477	0.22278	0.40555	0.089395	0.000999	0.00151	5	0.14185	0.0999	0.23723	6	0.045684	0.046953	0.1323
CD4_positive_alpha_beta_T_cell_activation(7)	57	0.46376	0.34066	1	0.53624	0.66034	0.85399	0.25454	0.000999	0.00151	31	0.25036	0.13886	0.29363	24	0.19783	0.20979	0.36503
CD4_positive_alpha_beta_T_cell_differentiation(8)	53	0.45135	0.26973	1	0.54865	0.73127	0.91385	0.25442	0.000999	0.00151	30	0.2587	0.20579	0.38507	21	0.1773	0.13986	0.27964
CD4_positive_alpha_beta_T_cell_differentiation_involved_in_immune_response(9)&T_helper_cell_differentiation(10)	40	0.50225	0.61239	1	0.49775	0.38861	0.59294	0.2396	0.000999	0.00151	20	0.24388	0.19081	0.36574	18	0.15035	0.078921	0.19115
CD4_positive_or_CD8_positive_alpha_beta_T_cell_lineage_commitment(5)	10	0.34992	0.15684	1	0.65008	0.84416	0.99982	0.47566	0.30669	0.32174	8	0.48468	0.90709	0.95483	2	0.43957	0.79021	0.86889
CD8_positive_alpha_beta_T_cell_activation(7)	12	0.61118	0.87213	1	0.38882	0.12887	0.27442	0.35689	0.06993	0.07883	4	0.34108	0.58142	0.73295	7	0.27406	0.57243	0.70327
CHD_type_complex(5)&NuRD_complex(6)	18	0.43382	0.2957	1	0.56618	0.70529	0.89455	0.12651	0.000999	0.00151	11	0.17703	0.081918	0.20441	7	0.04713	0.034965	0.10813
COP9_signalosome(4)	31	0.60967	0.96603	1	0.39033	0.034965	0.10412	0.19203	0.000999	0.00151	11	0.17058	0.074925	0.19295	20	0.20384	0.26074	0.42177
COPII_coated_vesicle_budding(5)	9	0.66775	0.92707	1	0.33225	0.073926	0.18103	0.03579	0.000999	0.00151	3	0.05694	0.12488	0.27449	6	0.025215	0.032967	0.10451
COPI_coated_vesicle(6)	18	0.84859	1	1	0.15141	0.000999	0.0072255	0.15082	0.000999	0.00151	3	0.54399	0.86813	0.93084	15	0.072182	0.00999	0.044332
COPI_coated_vesicle_membrane(6)	13	0.88657	1	1	0.11343	0.000999	0.0072255	0.17023	0.000999	0.00151	2	0.81599	0.96503	0.98615	11	0.052823	0.010989	0.047598
COPI_vesicle_coat(5)	12	0.88028	1	1	0.11972	0.000999	0.0072255	0.17811	0.000999	0.00151	2	0.81599	0.96503	0.98615	10	0.050531	0.012987	0.054115
CTP_metabolic_process(8)&CTP_biosynthetic_process(9)	9	0.46304	0.46354	1	0.53696	0.53746	0.74045	0.39624	0.16184	0.17557	5	0.39747	0.6993	0.82314	3	0.19293	0.36663	0.5247
CXCR_chemokine_receptor_binding(7)	14	0.66134	0.96404	1	0.33866	0.036963	0.10848	0.35508	0.057942	0.066172	3	0.086771	0.15684	0.31942	8	0.21386	0.39061	0.54674
C_3_sterol_dehydrogenase_C_4_sterol_decarboxylase_activity(6)&mevaldate_reductase_activity(6)&gluconate_dehydrogenase_activity(6)&epoxide_dehydrogenase_activity(6)&5_exo_hydroxycamphor_dehydrogenase_activity(6)&2_hydroxytetrahydrofuran_dehydrogenase_activity(6)&acetoin_dehydrogenase_activity(6)&phenylcoumaran_benzylic_ether_reductase_activity(6)&D_arabinitol_dehydrogenase_D_ribulose_forming_NADP__activity(6)&_R___1_2_3_4_tetrahydronaphthol_dehydrogenase_activity(6)&3_hydroxymenthone_dehydrogenase_activity(6)&very_long_chain_3_hydroxyacyl_CoA_dehydrogenase_activity(6)&_R_2_hydroxyisocaproate_dehydrogenase_activity(6)&L_arabinose_1_dehydrogenase_NADP__activity(6)&L_xylulose_reductase_NAD__activity(6)&3_ketoglucose_reductase_activity(6)&D_arabinitol_dehydrogenase_D_xylulose_forming_NADP__activity(6)&D_xylose_NADP_reductase_activity(9)&L_arabinose_NADP_reductase_activity(9)	25	0.74631	1	1	0.25369	0.000999	0.0072255	0.17942	0.000999	0.00151	7	0.37917	0.69031	0.81659	17	0.048901	0.000999	0.0079587
C_C_chemokine_receptor_activity(8)	14	0.58454	0.84316	1	0.41546	0.15784	0.31634	0.39392	0.1039	0.11488	4	0.21411	0.30969	0.49849	9	0.40649	0.9041	0.94564
C_acyltransferase_activity(6)	48	0.62646	0.99401	1	0.37354	0.006993	0.030598	0.24879	0.000999	0.00151	17	0.25189	0.24176	0.42723	25	0.06639	0.000999	0.0079587
C_methyltransferase_activity(6)&quinone_cofactor_methyltransferase_activity(7)&2_polyprenyl_6_methoxy_1_4_benzoquinone_methyltransferase_activity(8)	72	0.4562	0.25175	1	0.5438	0.74925	0.92803	0.32218	0.000999	0.00151	37	0.26	0.17183	0.34009	31	0.30894	0.82917	0.89874
C_palmitoyltransferase_activity(7)	37	0.53957	0.8022	1	0.46043	0.1988	0.37314	0.2883	0.000999	0.00151	16	0.25624	0.24875	0.43408	16	0.097953	0.018981	0.070961
C_terminal_protein_amino_acid_modification(8)	13	0.57664	0.7952	1	0.42336	0.20579	0.3838	0.17768	0.000999	0.00151	5	0.11492	0.070929	0.1861	7	0.10504	0.1049	0.23175
Cajal_body(7)	30	0.20693	0.000999	0.0217	0.79307	1	1	0.16411	0.000999	0.00151	24	0.12344	0.000999	0.0078325	5	0.19212	0.37463	0.53137
Cdc42_protein_signal_transduction(9)&regulation_of_Cdc42_protein_signal_transduction(9)	338	0.52694	0.98002	1	0.47306	0.020979	0.070653	0.19709	0.000999	0.00151	161	0.21307	0.000999	0.0078325	173	0.16364	0.001998	0.013547
CoA_hydrolase_activity(6)	29	0.8059	1	1	0.1941	0.000999	0.0072255	0.18345	0.000999	0.00151	5	0.34504	0.57642	0.72802	23	0.11283	0.018981	0.070961
CoA_ligase_activity(5)	15	0.8135	1	1	0.1865	0.000999	0.0072255	0.027724	0.000999	0.00151	3	0.13683	0.20779	0.38762	12	0.00044747	0.000999	0.0079587
Cul3_RING_ubiquitin_ligase_complex(6)	22	0.49403	0.52448	1	0.50597	0.47652	0.68139	0.11987	0.000999	0.00151	11	0.10792	0.016983	0.068218	11	0.13181	0.093906	0.21389
Cul4_RING_E3_ubiquitin_ligase_complex(6)	20	0.3462	0.04995	0.4599	0.6538	0.95105	1	0.09825	0.000999	0.00151	13	0.069724	0.002997	0.018503	7	0.15123	0.20979	0.36503
D1_dopamine_receptor_binding(7)	10	0.56411	0.75025	1	0.43589	0.25075	0.43875	0.34104	0.07992	0.089505	5	0.45643	0.81518	0.90049	4	0.032059	0.10789	0.23564
DNA_N1_methyladenine_dioxygenase_activity(6)	32	0.50686	0.63636	1	0.49314	0.36464	0.56575	0.14921	0.000999	0.00151	16	0.16293	0.035964	0.11611	16	0.13549	0.062937	0.16337
DNA_N_glycosylase_activity(6)	17	0.44281	0.32867	1	0.55719	0.67233	0.86416	0.20097	0.000999	0.00151	10	0.2236	0.17982	0.35267	7	0.16864	0.25774	0.41824
DNA_apurinic_or_apyrimidinic_site_lyase_activity(5)	13	0.37643	0.14985	0.98031	0.62357	0.85115	1	0.17595	0.000999	0.00151	8	0.12966	0.04995	0.14843	5	0.25002	0.52647	0.66752
DNA_binding_bending(6)	12	0.28833	0.040959	0.395	0.71167	0.96004	1	0.26476	0.012987	0.016204	7	0.06741	0.015984	0.064908	3	0.23509	0.45255	0.60268
DNA_biosynthetic_process(6)	83	0.47651	0.41958	1	0.52349	0.58142	0.78112	0.18027	0.000999	0.00151	45	0.2007	0.013986	0.058611	38	0.15607	0.023976	0.083566
DNA_catabolic_process(6)	65	0.35987	0.006993	0.097582	0.64013	0.99401	1	0.19307	0.000999	0.00151	38	0.073854	0.000999	0.0078325	26	0.33627	0.91908	0.95594
DNA_catabolic_process_endonucleolytic(7)	44	0.43171	0.17083	1	0.56829	0.83017	0.98866	0.22368	0.000999	0.00151	21	0.046881	0.000999	0.0078325	22	0.35715	0.92807	0.9614
DNA_catabolic_process_exonucleolytic(7)	16	0.14272	0.000999	0.0217	0.85728	1	1	0.14166	0.000999	0.00151	14	0.1012	0.007992	0.039604	2	0.42487	0.77123	0.85434
DNA_conformation_change(5)	177	0.19983	0.000999	0.0217	0.80017	1	1	0.14202	0.000999	0.00151	131	0.040011	0.000999	0.0078325	35	0.25418	0.49251	0.63713
DNA_damage_checkpoint(6)	86	0.28783	0.000999	0.0217	0.71217	1	1	0.11909	0.000999	0.00151	62	0.098175	0.000999	0.0078325	23	0.13718	0.037962	0.11443
DNA_damage_response_signal_transduction_by_p53_class_mediator(7)	51	0.36514	0.018981	0.21304	0.63486	0.98202	1	0.16111	0.000999	0.00151	31	0.092439	0.000999	0.0078325	19	0.22901	0.37762	0.53505
DNA_damage_response_signal_transduction_by_p53_class_mediator_resulting_in_cell_cycle_arrest(6)	9	0.22356	0.028971	0.30148	0.77644	0.97203	1	0.01037	0.000999	0.00151	7	0.0083848	0.000999	0.0078325	2	0.017318	0.23077	0.3888
DNA_damage_response_signal_transduction_by_p53_class_mediator_resulting_in_transcription_of_p21_class_mediator(8)	12	0.29246	0.046953	0.43832	0.70754	0.95405	1	0.26788	0.013986	0.017373	7	0.046338	0.011988	0.051565	4	0.47256	0.91109	0.94954
DNA_damage_response_signal_transduction_resulting_in_transcription(7)	13	0.35142	0.096903	0.74674	0.64858	0.9041	1	0.24728	0.002997	0.004179	7	0.046338	0.011988	0.051565	5	0.37805	0.78521	0.86568
DNA_dealkylation(7)	16	0.44265	0.32867	1	0.55735	0.67233	0.86416	0.22787	0.001998	0.002859	9	0.21171	0.19281	0.3683	7	0.24866	0.49351	0.63817
DNA_demethylation(4)	14	0.43445	0.33666	1	0.56555	0.66434	0.858	0.26043	0.008991	0.011567	8	0.23817	0.26274	0.44795	6	0.2901	0.66134	0.77535
DNA_dependent_ATPase_activity(10)	81	0.18696	0.000999	0.0217	0.81304	1	1	0.087268	0.000999	0.00151	67	0.069827	0.000999	0.0078325	14	0.17073	0.18881	0.33929
DNA_dependent_DNA_replication(7)	88	0.18148	0.000999	0.0217	0.81852	1	1	0.098413	0.000999	0.00151	72	0.064147	0.000999	0.0078325	15	0.20279	0.28372	0.44402
