Source Name	Characteristics[organism]	Characteristics[strain]	Characteristics[developmental stage]	Characteristics[genotype]	Characteristics[organism part]	Comment [specimen with known storage state]	Comment[ENA_SAMPLE]	Material Type	Provider	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment [LIBRARY_STRAND]	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRATEGY]	Comment[LIBRARY_SELECTION]	Comment[NOMINAL_LENGTH]	Comment[ORIENTATION]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Comment[MD5]	Comment[SPOT_LENGTH]	Comment[READ_INDEX_1_BASE_COORD]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[developmental stage]	FactorValue [organism part]
P0.5_l_02	Mus musculus	C57BL/6J	postnatal day 0.5	wild type	liver	fresh specimen	ERS406879	organism part	CI, Cambridge	P-MTAB-37641	P-MTAB-37642	P-MTAB-37643	P-MTAB-37644	P0.5_l_02 extract	RNA	first strand	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	275	5'-3'-3'-5'	P-MTAB-37645	Cambridge Institute, Cambridge, UK	do1650_RNAseq_liver_mmuBL6P0.5_CRI02	sequencing assay	ERX402229	do1650_RNAseq_liver_mmuBL6P0.5_CRI02p1.fq.gz	do1650_RNAseq_liver_mmuBL6P0.5_CRI02p1.fq.gz	ERR435959	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/ERR435959/ERR435959_1.fastq.gz	87d41a4bd1e616d2ac04cec8f1e95846	75	76	P-MTAB-37646	genes.raw.htseq2.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2328/E-MTAB-2328.processed.1.zip	postnatal day 0.5	liver
P0.5_l_02	Mus musculus	C57BL/6J	postnatal day 0.5	wild type	liver	fresh specimen	ERS406879	organism part	CI, Cambridge	P-MTAB-37641	P-MTAB-37642	P-MTAB-37643	P-MTAB-37644	P0.5_l_02 extract	RNA	first strand	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	275	5'-3'-3'-5'	P-MTAB-37645	Cambridge Institute, Cambridge, UK	do1650_RNAseq_liver_mmuBL6P0.5_CRI02	sequencing assay	ERX402229	do1650_RNAseq_liver_mmuBL6P0.5_CRI02p2.fq.gz	do1650_RNAseq_liver_mmuBL6P0.5_CRI02p2.fq.gz	ERR435959	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/ERR435959/ERR435959_2.fastq.gz	b5c7d5b7d7043b25a72b07edb0a9ecd2	75	76	P-MTAB-37646	genes.raw.htseq2.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2328/E-MTAB-2328.processed.1.zip	postnatal day 0.5	liver
P4_l_01	Mus musculus	C57BL/6J	postnatal day 4	wild type	liver	fresh specimen	ERS406867	organism part	CI, Cambridge	P-MTAB-37641	P-MTAB-37642	P-MTAB-37643	P-MTAB-37644	P4_l_01 extract	RNA	first strand	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	275	5'-3'-3'-5'	P-MTAB-37645	Cambridge Institute, Cambridge, UK	do1475_RNAseq_liver_mmuBL6Greece_CRI01	sequencing assay	ERX402217	do1475_RNAseq_liver_mmuBL6Greece_CRI01p1.fq.gz	do1475_RNAseq_liver_mmuBL6Greece_CRI01p1.fq.gz	ERR435948	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/ERR435948/ERR435948_1.fastq.gz	db321817bd3fe96ab811ac4aa407a65a	75	76	P-MTAB-37646	genes.raw.htseq2.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2328/E-MTAB-2328.processed.1.zip	postnatal day 4	liver
P4_l_01	Mus musculus	C57BL/6J	postnatal day 4	wild type	liver	fresh specimen	ERS406867	organism part	CI, Cambridge	P-MTAB-37641	P-MTAB-37642	P-MTAB-37643	P-MTAB-37644	P4_l_01 extract	RNA	first strand	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	275	5'-3'-3'-5'	P-MTAB-37645	Cambridge Institute, Cambridge, UK	do1475_RNAseq_liver_mmuBL6Greece_CRI01	sequencing assay	ERX402217	do1475_RNAseq_liver_mmuBL6Greece_CRI01p2.fq.gz	do1475_RNAseq_liver_mmuBL6Greece_CRI01p2.fq.gz	ERR435948	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/ERR435948/ERR435948_2.fastq.gz	e17518fbf0a85a31178607fafb70e1b1	75	76	P-MTAB-37646	genes.raw.htseq2.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2328/E-MTAB-2328.processed.1.zip	postnatal day 4	liver
P4_l_02	Mus musculus	C57BL/6J	postnatal day 4	wild type	liver	fresh specimen	ERS406880	organism part	CI, Cambridge	P-MTAB-37641	P-MTAB-37642	P-MTAB-37643	P-MTAB-37644	P4_l_02 extract	RNA	first strand	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	275	5'-3'-3'-5'	P-MTAB-37645	Cambridge Institute, Cambridge, UK	do1651_RNAseq_liver_mmuBL6P4_CRI02	sequencing assay	ERX402230	do1651_RNAseq_liver_mmuBL6P4_CRI02p1.fq.gz	do1651_RNAseq_liver_mmuBL6P4_CRI02p1.fq.gz	ERR435958	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/ERR435958/ERR435958_1.fastq.gz	d64e51b9e74662a5abe3293b252aeb80	75	76	P-MTAB-37646	genes.raw.htseq2.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2328/E-MTAB-2328.processed.1.zip	postnatal day 4	liver
P4_l_02	Mus musculus	C57BL/6J	postnatal day 4	wild type	liver	fresh specimen	ERS406880	organism part	CI, Cambridge	P-MTAB-37641	P-MTAB-37642	P-MTAB-37643	P-MTAB-37644	P4_l_02 extract	RNA	first strand	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	275	5'-3'-3'-5'	P-MTAB-37645	Cambridge Institute, Cambridge, UK	do1651_RNAseq_liver_mmuBL6P4_CRI02	sequencing assay	ERX402230	do1651_RNAseq_liver_mmuBL6P4_CRI02p2.fq.gz	do1651_RNAseq_liver_mmuBL6P4_CRI02p2.fq.gz	ERR435958	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/ERR435958/ERR435958_2.fastq.gz	448613d92a385d2fdcf99d2d1552fa3c	75	76	P-MTAB-37646	genes.raw.htseq2.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2328/E-MTAB-2328.processed.1.zip	postnatal day 4	liver
P22_l_01	Mus musculus	C57BL/6J	postnatal day 22	wild type	liver	fresh specimen	ERS406870	organism part	CI, Cambridge	P-MTAB-37641	P-MTAB-37642	P-MTAB-37643	P-MTAB-37644	P22_l_01 extract	RNA	first strand	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	275	5'-3'-3'-5'	P-MTAB-37645	Cambridge Institute, Cambridge, UK	do2170_RNAseq_liver_mmuBL6P22_CRI01	sequencing assay	ERX402220	do2170_RNAseq_liver_mmuBL6P22_CRI01p1.fq.gz	do2170_RNAseq_liver_mmuBL6P22_CRI01p1.fq.gz	ERR435941	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/ERR435941/ERR435941_1.fastq.gz	79e83d7f535b060abcfce6698cff9d8e	75	76	P-MTAB-37646	genes.raw.htseq2.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2328/E-MTAB-2328.processed.1.zip	postnatal day 22	liver
P22_l_01	Mus musculus	C57BL/6J	postnatal day 22	wild type	liver	fresh specimen	ERS406870	organism part	CI, Cambridge	P-MTAB-37641	P-MTAB-37642	P-MTAB-37643	P-MTAB-37644	P22_l_01 extract	RNA	first strand	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	275	5'-3'-3'-5'	P-MTAB-37645	Cambridge Institute, Cambridge, UK	do2170_RNAseq_liver_mmuBL6P22_CRI01	sequencing assay	ERX402220	do2170_RNAseq_liver_mmuBL6P22_CRI01p2.fq.gz	do2170_RNAseq_liver_mmuBL6P22_CRI01p2.fq.gz	ERR435941	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/ERR435941/ERR435941_2.fastq.gz	26d4ac7157803cefa3a353268728c5f3	75	76	P-MTAB-37646	genes.raw.htseq2.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2328/E-MTAB-2328.processed.1.zip	postnatal day 22	liver
P22_l_02	Mus musculus	C57BL/6J	postnatal day 22	wild type	liver	fresh specimen	ERS406873	organism part	CI, Cambridge	P-MTAB-37641	P-MTAB-37642	P-MTAB-37643	P-MTAB-37644	P22_l_02 extract	RNA	first strand	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	275	5'-3'-3'-5'	P-MTAB-37645	Cambridge Institute, Cambridge, UK	do2180_RNAseq_liver_mmuBL6P22_CRI01	sequencing assay	ERX402223	do2180_RNAseq_liver_mmuBL6P22_CRI01p1.fq.gz	do2180_RNAseq_liver_mmuBL6P22_CRI01p1.fq.gz	ERR435950	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/ERR435950/ERR435950_1.fastq.gz	d70b79ea55623626d5197b995e2f9e28	75	76	P-MTAB-37646	genes.raw.htseq2.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2328/E-MTAB-2328.processed.1.zip	postnatal day 22	liver
P22_l_02	Mus musculus	C57BL/6J	postnatal day 22	wild type	liver	fresh specimen	ERS406873	organism part	CI, Cambridge	P-MTAB-37641	P-MTAB-37642	P-MTAB-37643	P-MTAB-37644	P22_l_02 extract	RNA	first strand	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	275	5'-3'-3'-5'	P-MTAB-37645	Cambridge Institute, Cambridge, UK	do2180_RNAseq_liver_mmuBL6P22_CRI01	sequencing assay	ERX402223	do2180_RNAseq_liver_mmuBL6P22_CRI01p2.fq.gz	do2180_RNAseq_liver_mmuBL6P22_CRI01p2.fq.gz	ERR435950	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/ERR435950/ERR435950_2.fastq.gz	2b35b801393dbc5791522e252d0d59c6	75	76	P-MTAB-37646	genes.raw.htseq2.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2328/E-MTAB-2328.processed.1.zip	postnatal day 22	liver
P29_l_01	Mus musculus	C57BL/6J	postnatal day 29	wild type	liver	fresh specimen	ERS406882	organism part	CI, Cambridge	P-MTAB-37641	P-MTAB-37642	P-MTAB-37643	P-MTAB-37644	P29_l_01 extract	RNA	first strand	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	275	5'-3'-3'-5'	P-MTAB-37645	Cambridge Institute, Cambridge, UK	do2173_RNAseq_liver_mmuBL6P29_CRI01	sequencing assay	ERX402232	do2173_RNAseq_liver_mmuBL6P29_CRI01p1.fq.gz	do2173_RNAseq_liver_mmuBL6P29_CRI01p1.fq.gz	ERR435951	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/ERR435951/ERR435951_1.fastq.gz	5692601aca5bcf5aeccf0edb6f4b68a9	75	76	P-MTAB-37646	genes.raw.htseq2.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2328/E-MTAB-2328.processed.1.zip	postnatal day 29	liver
P29_l_01	Mus musculus	C57BL/6J	postnatal day 29	wild type	liver	fresh specimen	ERS406882	organism part	CI, Cambridge	P-MTAB-37641	P-MTAB-37642	P-MTAB-37643	P-MTAB-37644	P29_l_01 extract	RNA	first strand	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	275	5'-3'-3'-5'	P-MTAB-37645	Cambridge Institute, Cambridge, UK	do2173_RNAseq_liver_mmuBL6P29_CRI01	sequencing assay	ERX402232	do2173_RNAseq_liver_mmuBL6P29_CRI01p2.fq.gz	do2173_RNAseq_liver_mmuBL6P29_CRI01p2.fq.gz	ERR435951	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/ERR435951/ERR435951_2.fastq.gz	ebb50a52ed646b3138a9cbdbd6f6aff0	75	76	P-MTAB-37646	genes.raw.htseq2.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2328/E-MTAB-2328.processed.1.zip	postnatal day 29	liver
P29_l_02	Mus musculus	C57BL/6J	postnatal day 29	wild type	liver	fresh specimen	ERS406865	organism part	CI, Cambridge	P-MTAB-37641	P-MTAB-37642	P-MTAB-37643	P-MTAB-37644	P29_l_02 extract	RNA	first strand	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	275	5'-3'-3'-5'	P-MTAB-37645	Cambridge Institute, Cambridge, UK	do2171_RNAseq_liver_mmuBL6P29_CRI01	sequencing assay	ERX402215	do2171_RNAseq_liver_mmuBL6P29_CRI01p1.fq.gz	do2171_RNAseq_liver_mmuBL6P29_CRI01p1.fq.gz	ERR435956	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/ERR435956/ERR435956_1.fastq.gz	2916a05510a06ca9f79f691feb221a7f	75	76	P-MTAB-37646	genes.raw.htseq2.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2328/E-MTAB-2328.processed.1.zip	postnatal day 29	liver
P29_l_02	Mus musculus	C57BL/6J	postnatal day 29	wild type	liver	fresh specimen	ERS406865	organism part	CI, Cambridge	P-MTAB-37641	P-MTAB-37642	P-MTAB-37643	P-MTAB-37644	P29_l_02 extract	RNA	first strand	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	275	5'-3'-3'-5'	P-MTAB-37645	Cambridge Institute, Cambridge, UK	do2171_RNAseq_liver_mmuBL6P29_CRI01	sequencing assay	ERX402215	do2171_RNAseq_liver_mmuBL6P29_CRI01p2.fq.gz	do2171_RNAseq_liver_mmuBL6P29_CRI01p2.fq.gz	ERR435956	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/ERR435956/ERR435956_2.fastq.gz	d5df2510b60f64143026522e45c33600	75	76	P-MTAB-37646	genes.raw.htseq2.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2328/E-MTAB-2328.processed.1.zip	postnatal day 29	liver
E15.5_b_01	Mus musculus	C57BL/6J	embryonic day 15.5	wild type	brain	fresh specimen	ERS406866	organism part	CI, Cambridge	P-MTAB-37641	P-MTAB-37642	P-MTAB-37643	P-MTAB-37644	E15.5_b_01 extract	RNA	first strand	PAIRED	TRANSCRIPTOMIC	RNA-Seq	RANDOM	275	5'-3'-3'-5'	P-MTAB-37645	Cambridge Institute, Cambridge, UK	do2183_RNAseq_brain_mmuBL6e15.5_CRI01	sequencing assay	ERX402216	do2183_RNAseq_brain_mmuBL6e15.5_CRI01p1.fq.gz	do2183_RNAseq_brain_mmuBL6e15.5_CRI01p1.fq.gz	ERR435946	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR435/ERR435946/ERR435946_1.fastq.gz	bf7de0653afcb10d421572b15da3270d	75	76	P-MTAB-37646	genes.raw.htseq2.tsv	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-2328/E-MTAB-2328.processed.1.zip	embryonic day 15.5	brain
